Date,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Condition,Season,Month,Year,Energy_Demand_MWh
2020-01-28,-0.9,62.8,9.0,17.1,Snowy,Winter,January,2020,885.79
2020-01-29,-3.8,85.1,13.7,17.8,Snowy,Winter,January,2020,950.83
2020-01-30,-2.9,70.6,1.0,14.1,Snowy,Winter,January,2020,929.55
2020-01-31,-3.8,95.5,2.3,10.4,Snowy,Winter,January,2020,950.8
2020-02-01,6.6,67.5,10.6,8.9,Drizzle,Winter,February,2020,710.7
2020-02-02,1.0,73.5,0.3,20.1,Partly Cloudy,Winter,February,2020,789.25
2020-02-03,-2.2,84.3,0.4,18.9,Snowy,Winter,February,2020,888.62
2020-02-04,3.5,88.0,0.7,18.2,Cloudy,Winter,February,2020,783.42
2020-02-05,-2.7,64.25148095909732,3.6,19.1,Snowy,Winter,February,2020,900.03
2020-02-06,1.6,81.7,0.7,14.2,Cloudy,Winter,February,2020,813.83
2020-02-07,-4.9,64.25148095909732,13.8,11.9,Snowy,Winter,February,2020,953.82
2020-02-08,-3.0,76.7,2.4,14.739492242595203,Snowy,Winter,February,2020,872.31
2020-02-09,1.6,78.2,2.8,9.6,Partly Cloudy,Winter,February,2020,779.03
2020-02-10,3.2,67.6,1.1,21.1,Partly Cloudy,Winter,February,2020,788.21
2020-02-11,1.5,65.5,2.5,12.5,Partly Cloudy,Winter,February,2020,815.44
2020-02-12,0.7,72.0,4.3,20.3,Partly Cloudy,Winter,February,2020,829.13
2020-02-13,0.1,70.6,5.6,14.1,Drizzle,Winter,February,2020,840.72
2020-02-14,15.139844851904092,68.4,5.6,11.6,Snowy,Winter,February,2020,554.34
2020-02-15,-1.2,77.6,3.4,9.5,Snowy,Winter,February,2020,832.62
2020-02-16,-0.4,79.6,9.4,12.1,Snowy,Winter,February,2020,816.13
2020-02-17,4.2,72.7,6.8,22.1,Drizzle,Winter,February,2020,773.68
2020-02-18,2.0,64.25148095909732,5.7,9.6,Cloudy,Winter,February,2020,807.15
2020-02-19,-4.3,62.9,0.2,25.6,Snowy,Winter,February,2020,938.36
2020-02-20,2.0,70.5,0.0,10.8,Partly Cloudy,Winter,February,2020,806.66
2020-02-21,-0.2,66.3,1.0,18.7,Snowy,Winter,February,2020,846.92
2020-02-22,-1.0,57.1,4.4,14.3,Snowy,Winter,February,2020,827.87
2020-02-23,2.8,71.3,2.1,13.4,Partly Cloudy,Winter,February,2020,759.92
2020-02-24,4.1,71.0,2.1,8.6,Partly Cloudy,Winter,February,2020,775.21
2020-02-25,3.8,84.1,8.6,14.5,Cloudy,Winter,February,2020,779.37
2020-02-26,-1.5,77.0,9.0,9.2,Snowy,Winter,February,2020,872.97
2020-02-27,0.1,63.8,9.6,6.6,Drizzle,Winter,February,2020,840.52
2020-02-28,2.0,86.8,1.5,15.6,Cloudy,Winter,February,2020,806.84
2020-02-29,3.9,81.8,4.7,11.8,Cloudy,Winter,February,2020,743.74
2020-03-01,6.6,69.7,1.9,23.4,Partly Cloudy,Spring,March,2020,565.76
2020-03-02,7.4,63.2,1.3,20.0,Partly Cloudy,Spring,March,2020,590.61
2020-03-03,4.7,57.3,1.2,23.5,Partly Cloudy,Spring,March,2020,612.8
2020-03-04,4.4,62.0,2.5,11.6,Partly Cloudy,Spring,March,2020,616.11
2020-03-05,15.139844851904092,73.7,3.4,15.7,Partly Cloudy,Spring,March,2020,534.49
2020-03-06,12.1,80.1,10.7,1.9,Cloudy,Spring,March,2020,571.35
2020-03-07,7.8,77.3,0.8,13.6,Partly Cloudy,Spring,March,2020,557.5
2020-03-08,11.0,61.1,8.0,15.5,Drizzle,Spring,March,2020,543.69
2020-03-09,9.1,56.0,4.5,15.8,Partly Cloudy,Spring,March,2020,580.33
2020-03-10,6.1,66.1,5.653808180535966,14.8,Partly Cloudy,Spring,March,2020,599.8
2020-03-11,9.1,50.9,4.1,15.3,Partly Cloudy,Spring,March,2020,580.32
2020-03-12,12.6,67.6,2.1,1.4,Partly Cloudy,Spring,March,2020,571.31
2020-03-13,7.9,63.8,5.4,16.3,Drizzle,Spring,March,2020,586.95
2020-03-14,12.7,61.3,3.4,17.4,Partly Cloudy,Spring,March,2020,541.09
2020-03-15,0.1,52.2,1.1,21.7,Partly Cloudy,Spring,March,2020,642.11
2020-03-16,10.5,69.1,0.7,16.8,Partly Cloudy,Spring,March,2020,574.7
2020-03-17,8.3,60.7,4.7,14.3,Partly Cloudy,Spring,March,2020,584.31
2020-03-18,7.1,55.6,14.0,20.5,Drizzle,Spring,March,2020,592.37
2020-03-19,8.3,42.0,2.5,3.2,Partly Cloudy,Spring,March,2020,584.43
2020-03-20,2.0,64.8,7.9,12.4,Drizzle,Spring,March,2020,644.71
2020-03-21,7.3,79.2,6.4,11.2,Drizzle,Spring,March,2020,561.28
2020-03-22,9.1,78.3,16.1,14.8,Rainy,Spring,March,2020,550.21
2020-03-23,12.4,61.3,10.3,4.0,Drizzle,Spring,March,2020,571.6
2020-03-24,6.4,60.2,5.0,21.6,Partly Cloudy,Spring,March,2020,598.02
2020-03-25,5.6,68.8,5.653808180535966,13.8,Drizzle,Spring,March,2020,604.2
2020-03-26,6.5,57.0,13.7,16.6,Drizzle,Spring,March,2020,596.81
2020-03-27,10.7,67.4,3.1,16.1,Partly Cloudy,Spring,March,2020,574.78
2020-03-28,9.0,71.1,2.4,21.3,Partly Cloudy,Spring,March,2020,550.82
2020-03-29,6.4,74.8,0.1,5.7,Partly Cloudy,Spring,March,2020,567.73
2020-03-30,9.5,64.2,10.5,15.6,Drizzle,Spring,March,2020,578.98
2020-03-31,8.3,64.25148095909732,9.7,20.7,Drizzle,Spring,March,2020,584.56
2020-04-01,17.9,53.0,0.9,14.5,Partly Cloudy,Spring,April,2020,526.86
2020-04-02,12.9,53.4,6.9,10.2,Drizzle,Spring,April,2020,512.69
2020-04-03,15.139844851904092,58.2,5.0,12.0,Partly Cloudy,Spring,April,2020,505.98
2020-04-04,13.8,62.9,1.0,13.0,Partly Cloudy,Spring,April,2020,483.26
2020-04-05,10.6,67.3,31.5,11.4,Rainy,Spring,April,2020,486.43
2020-04-06,15.9,53.6,1.9,14.2,Partly Cloudy,Spring,April,2020,517.49
2020-04-07,15.8,71.9,0.6,22.5,Partly Cloudy,Spring,April,2020,517.11
2020-04-08,15.0,57.8,7.2,12.0,Drizzle,Spring,April,2020,515.13
2020-04-09,14.3,59.8,10.7,12.6,Drizzle,Spring,April,2020,513.63
2020-04-10,10.8,54.0,0.3,17.3,Partly Cloudy,Spring,April,2020,515.4
2020-04-11,13.7,40.6,8.6,14.1,Drizzle,Spring,April,2020,483.3
2020-04-12,15.139844851904092,67.1,6.1,14.739492242595203,Drizzle,Spring,April,2020,475.6
2020-04-13,12.6,65.9,0.9,14.7,Partly Cloudy,Spring,April,2020,512.8
2020-04-14,14.5,57.7,1.5,14.5,Partly Cloudy,Spring,April,2020,514.12
2020-04-15,16.2,60.5,6.7,19.9,Drizzle,Spring,April,2020,518.77
2020-04-16,20.7,64.1,2.8,10.1,Partly Cloudy,Spring,April,2020,547.45
2020-04-17,15.5,47.5,22.3,19.9,Rainy,Spring,April,2020,516.51
2020-04-18,15.8,55.8,13.7,14.5,Drizzle,Spring,April,2020,487.02
2020-04-19,14.8,66.4,32.9,9.5,Rainy,Spring,April,2020,484.36
2020-04-20,9.2,50.0,2.4,8.5,Partly Cloudy,Spring,April,2020,522.01
2020-04-21,14.9,62.3,28.0,24.7,Rainy,Spring,April,2020,514.94
2020-04-22,15.2,49.1,4.5,14.2,Partly Cloudy,Spring,April,2020,515.33
2020-04-23,22.4,63.7,3.4,19.7,Partly Cloudy,Spring,April,2020,565.04
2020-04-24,14.4,59.7,0.4,6.5,Partly Cloudy,Spring,April,2020,514.01
2020-04-25,15.9,47.1,0.4,14.739492242595203,Partly Cloudy,Spring,April,2020,487.62
2020-04-26,14.9,69.3,9.4,19.5,Drizzle,Spring,April,2020,484.74
2020-04-27,11.5,54.1,4.9,13.7,Partly Cloudy,Spring,April,2020,514.13
2020-04-28,18.4,53.5,2.1,13.5,Partly Cloudy,Spring,April,2020,530.11
2020-04-29,17.3,61.6,7.6,18.7,Drizzle,Spring,April,2020,523.17
2020-04-30,17.4,69.2,2.3,18.4,Partly Cloudy,Spring,April,2020,523.83
2020-05-01,18.3,49.9,6.0,15.9,Drizzle,Spring,May,2020,479.0
2020-05-02,25.2,58.5,3.1,15.1,Partly Cloudy,Spring,May,2020,534.04
2020-05-03,16.8,61.4,12.1,17.8,Drizzle,Spring,May,2020,441.1
2020-05-04,22.8,63.5,12.0,6.3,Drizzle,Spring,May,2020,519.38
2020-05-05,27.6,59.4,4.5,13.1,Partly Cloudy,Spring,May,2020,603.52
2020-05-06,18.0,55.1,3.0,6.8,Partly Cloudy,Spring,May,2020,477.64
2020-05-07,19.3,51.4,3.2,18.0,Partly Cloudy,Spring,May,2020,486.14
2020-05-08,21.3,58.7,11.5,11.6,Drizzle,Spring,May,2020,503.51
2020-05-09,15.139844851904092,49.4,2.8,7.1,Partly Cloudy,Spring,May,2020,471.59
2020-05-10,16.3,34.6,1.6,11.0,Partly Cloudy,Spring,May,2020,439.45
2020-05-11,21.2,61.5,0.6,15.7,Partly Cloudy,Spring,May,2020,502.58
2020-05-12,17.8,65.2,4.4,14.739492242595203,Partly Cloudy,Spring,May,2020,476.35
2020-05-13,22.4,39.1,4.6,9.1,Partly Cloudy,Spring,May,2020,515.3
2020-05-14,18.2,49.9,12.9,6.5,Drizzle,Spring,May,2020,478.96
2020-05-15,25.6,63.0,1.8,15.4,Partly Cloudy,Spring,May,2020,577.06
2020-05-16,18.7,74.5,3.4,12.1,Partly Cloudy,Spring,May,2020,451.43
2020-05-17,20.0,58.2,11.6,13.7,Drizzle,Spring,May,2020,461.95
2020-05-18,23.4,52.2,12.1,14.2,Drizzle,Spring,May,2020,527.27
2020-05-19,17.3,56.5,3.4,17.2,Partly Cloudy,Spring,May,2020,473.6
2020-05-20,21.7,69.0,4.3,19.2,Partly Cloudy,Spring,May,2020,507.42
2020-05-21,24.9,52.8,2.5,15.7,Partly Cloudy,Spring,May,2020,547.08
2020-05-22,16.2,51.6,18.9,13.4,Rainy,Spring,May,2020,468.48
2020-05-23,21.6,54.1,0.9,15.1,Partly Cloudy,Spring,May,2020,476.15
2020-05-24,21.8,50.4,19.0,13.3,Rainy,Spring,May,2020,478.44
2020-05-25,23.3,59.0,8.1,6.8,Drizzle,Spring,May,2020,526.08
2020-05-26,17.3,71.0,5.3,20.5,Drizzle,Spring,May,2020,473.45
2020-05-27,17.0,64.25148095909732,0.2,19.5,Partly Cloudy,Spring,May,2020,472.39
2020-05-28,22.6,56.0,4.5,24.9,Partly Cloudy,Spring,May,2020,517.1
2020-05-29,21.9,55.7,5.653808180535966,26.4,Partly Cloudy,Spring,May,2020,509.59
2020-05-30,21.8,45.5,1.2,9.1,Partly Cloudy,Spring,May,2020,478.21
2020-05-31,15.139844851904092,64.25148095909732,7.5,13.3,Drizzle,Spring,May,2020,492.83
2020-06-01,25.0,54.4,14.2,27.6,Drizzle,Summer,June,2020,678.25
2020-06-02,27.7,53.6,3.3,14.8,Partly Cloudy,Summer,June,2020,736.12
2020-06-03,27.9,80.5,5.0,16.2,Cloudy,Summer,June,2020,794.64
2020-06-04,15.139844851904092,57.4,0.3,7.4,Partly Cloudy,Summer,June,2020,676.27
2020-06-05,32.6,49.0,5.653808180535966,15.8,Sunny,Summer,June,2020,850.24
2020-06-06,28.4,51.6,0.5,24.7,Sunny,Summer,June,2020,706.74
2020-06-07,23.4,64.2,3.8,21.4,Partly Cloudy,Summer,June,2020,614.08
2020-06-08,29.0,55.9,11.2,12.0,Sunny,Summer,June,2020,768.97
2020-06-09,24.1,43.5,4.3,13.0,Partly Cloudy,Summer,June,2020,664.25
2020-06-10,15.139844851904092,62.4,0.3,9.3,Sunny,Summer,June,2020,713.81
2020-06-11,30.5,49.7,1.8,10.7,Sunny,Summer,June,2020,793.27
2020-06-12,24.5,70.0,3.2,5.4,Partly Cloudy,Summer,June,2020,670.89
2020-06-13,29.9,63.6,2.1,14.6,Sunny,Summer,June,2020,765.51
2020-06-14,28.2,51.4,7.2,22.6,Sunny,Summer,June,2020,702.12
2020-06-15,29.5,65.2,6.7,16.8,Sunny,Summer,June,2020,799.43
2020-06-16,32.7,55.5,3.8,21.8,Sunny,Summer,June,2020,864.2
2020-06-17,26.3,61.8,1.9,20.4,Partly Cloudy,Summer,June,2020,724.91
2020-06-18,24.7,58.9,1.2,12.3,Partly Cloudy,Summer,June,2020,674.05
2020-06-19,24.3,48.2,0.4,11.2,Partly Cloudy,Summer,June,2020,667.74
2020-06-20,24.6,49.9,1.8,11.4,Partly Cloudy,Summer,June,2020,631.24
2020-06-21,26.8,63.2,2.1,6.4,Partly Cloudy,Summer,June,2020,696.76
2020-06-22,28.0,64.25148095909732,4.5,15.2,Sunny,Summer,June,2020,764.23
2020-06-23,27.8,51.8,4.3,0.5,Partly Cloudy,Summer,June,2020,734.84
2020-06-24,29.5,47.4,0.3,18.0,Sunny,Summer,June,2020,768.78
2020-06-25,27.0,58.4,2.0,15.4,Partly Cloudy,Summer,June,2020,732.03
2020-06-26,31.4,71.5,0.8,17.4,Sunny,Summer,June,2020,860.14
2020-06-27,26.2,46.5,0.7,20.3,Partly Cloudy,Summer,June,2020,659.02
2020-06-28,35.2,55.2,7.0,16.0,Sunny,Summer,June,2020,900.18
2020-06-29,15.139844851904092,66.3,0.2,23.2,Sunny,Summer,June,2020,709.77
2020-06-30,24.4,54.4,2.2,18.1,Partly Cloudy,Summer,June,2020,669.25
2020-07-01,27.8,55.6,0.6,11.2,Partly Cloudy,Summer,July,2020,708.85
2020-07-02,32.4,43.5,6.3,13.8,Sunny,Summer,July,2020,811.61
2020-07-03,30.3,55.4,2.4,3.7,Sunny,Summer,July,2020,766.28
2020-07-04,33.1,50.5,0.8,10.5,Sunny,Summer,July,2020,792.37
2020-07-05,32.4,59.9,2.1,13.1,Sunny,Summer,July,2020,790.92
2020-07-06,30.8,61.5,3.9,17.7,Sunny,Summer,July,2020,790.95
2020-07-07,28.5,72.7,9.5,11.2,Sunny,Summer,July,2020,758.32
2020-07-08,26.5,56.6,5.653808180535966,8.8,Partly Cloudy,Summer,July,2020,684.72
2020-07-09,29.7,54.6,6.5,5.6,Sunny,Summer,July,2020,749.37
2020-07-10,33.6,53.6,5.653808180535966,12.0,Sunny,Summer,July,2020,853.52
2020-07-11,31.6,49.2,7.4,24.8,Sunny,Summer,July,2020,748.85
2020-07-12,27.3,54.7,3.0,16.4,Partly Cloudy,Summer,July,2020,656.04
2020-07-13,31.5,49.6,3.0,19.7,Sunny,Summer,July,2020,786.45
2020-07-14,32.2,53.3,1.5,10.5,Sunny,Summer,July,2020,811.88
2020-07-15,28.3,62.5,5.653808180535966,7.1,Sunny,Summer,July,2020,734.02
2020-07-16,31.5,43.9,68.4,8.9,Sunny,Summer,July,2020,785.97
2020-07-17,31.2,61.1,3.4,14.5,Sunny,Summer,July,2020,800.54
2020-07-18,-12.8,62.5,1.7,5.0,Partly Cloudy,Summer,July,2020,1477.36
2020-07-19,32.1,51.1,3.9,10.0,Sunny,Summer,July,2020,764.26
2020-07-20,32.7,35.0,5.2,12.1,Sunny,Summer,July,2020,819.66
2020-07-21,34.2,47.1,0.5,8.4,Sunny,Summer,July,2020,865.4
2020-07-22,34.2,62.4,5.4,4.4,Sunny,Summer,July,2020,889.78
2020-07-23,26.9,51.8,2.3,16.4,Partly Cloudy,Summer,July,2020,682.77
2020-07-24,28.2,44.0,5.6,15.2,Sunny,Summer,July,2020,706.02
2020-07-25,32.5,48.0,1.7,18.9,Sunny,Summer,July,2020,773.94
2020-07-26,32.5,58.7,1.4,9.4,Sunny,Summer,July,2020,791.52
2020-07-27,32.5,56.4,7.4,18.8,Sunny,Summer,July,2020,827.4
2020-07-28,42.6,50.1,0.9,22.6,Sunny,Summer,July,2020,1185.24
2020-07-29,32.7,49.1,5.6,16.3,Sunny,Summer,July,2020,819.92
2020-07-30,34.4,48.9,2.0,12.0,Sunny,Summer,July,2020,871.35
2020-07-31,33.9,44.6,2.2,15.7,Sunny,Summer,July,2020,855.35
2020-08-01,32.0,66.9,1.5,11.7,Sunny,Summer,August,2020,801.65
2020-08-02,29.1,51.4,3.4,10.9,Sunny,Summer,August,2020,696.53
2020-08-03,32.3,63.7,1.6,18.4,Sunny,Summer,August,2020,844.26
2020-08-04,27.7,66.2,0.2,14.3,Partly Cloudy,Summer,August,2020,736.51
2020-08-05,29.3,62.0,1.3,21.0,Sunny,Summer,August,2020,763.44
2020-08-06,28.5,50.5,0.0,12.8,Sunny,Summer,August,2020,722.4
2020-08-07,30.2,57.2,15.3,13.3,Rainy,Summer,August,2020,775.9
2020-08-08,36.9,53.8,13.5,12.2,Sunny,Summer,August,2020,931.41
2020-08-09,24.4,46.8,2.0,9.4,Partly Cloudy,Summer,August,2020,603.5
2020-08-10,32.1,56.6,5.2,19.1,Sunny,Summer,August,2020,824.11
2020-08-11,25.2,44.6,1.7,25.9,Partly Cloudy,Summer,August,2020,656.58
2020-08-12,28.6,63.5,4.4,13.1,Sunny,Summer,August,2020,750.45
2020-08-13,33.3,50.3,6.5,11.6,Sunny,Summer,August,2020,846.11
2020-08-14,30.2,55.6,11.7,11.3,Sunny,Summer,August,2020,772.22
2020-08-15,26.8,56.3,2.0,11.6,Partly Cloudy,Summer,August,2020,657.77
2020-08-16,27.9,51.9,6.1,23.2,Drizzle,Summer,August,2020,671.02
2020-08-17,32.0,58.7,1.2,11.4,Sunny,Summer,August,2020,826.25
2020-08-18,27.8,50.2,18.6,12.1,Rainy,Summer,August,2020,706.43
2020-08-19,30.6,61.0,0.1,8.8,Sunny,Summer,August,2020,793.7
2020-08-20,30.1,43.2,3.7,16.5,Sunny,Summer,August,2020,758.77
2020-08-21,28.0,55.0,4.3,14.7,Sunny,Summer,August,2020,720.67
2020-08-22,36.4,69.5,4.7,9.3,Sunny,Summer,August,2020,945.44
2020-08-23,15.139844851904092,46.0,0.5,10.5,Sunny,Summer,August,2020,669.48
2020-08-24,23.9,48.6,11.2,22.7,Drizzle,Summer,August,2020,636.69
2020-08-25,30.6,58.1,0.8,15.2,Sunny,Summer,August,2020,787.08
2020-08-26,28.0,55.4,5.653808180535966,15.5,Sunny,Summer,August,2020,721.23
2020-08-27,32.6,56.8,1.0,15.5,Sunny,Summer,August,2020,838.68
2020-08-28,27.6,57.9,1.5,22.0,Partly Cloudy,Summer,August,2020,717.97
2020-08-29,29.7,59.1,3.2,9.8,Sunny,Summer,August,2020,726.27
2020-08-30,31.5,62.9,2.2,13.0,Sunny,Summer,August,2020,780.37
2020-08-31,32.6,57.3,0.7,14.2,Sunny,Summer,August,2020,840.02
2020-09-01,20.4,58.1,1.1,6.4,Partly Cloudy,Autumn,September,2020,470.09
2020-09-02,23.0,65.4,3.2,10.4,Partly Cloudy,Autumn,September,2020,497.04
2020-09-03,22.6,75.2,8.5,20.2,Drizzle,Autumn,September,2020,492.18
2020-09-04,22.0,58.9,13.7,18.8,Drizzle,Autumn,September,2020,486.07
2020-09-05,29.3,52.2,0.5,19.7,Sunny,Autumn,September,2020,569.33
2020-09-06,25.2,68.9,3.0,12.1,Partly Cloudy,Autumn,September,2020,524.7
2020-09-07,15.139844851904092,59.0,0.6,12.7,Partly Cloudy,Autumn,September,2020,482.65
2020-09-08,26.8,42.6,0.1,6.1,Partly Cloudy,Autumn,September,2020,550.69
2020-09-09,30.4,66.8,6.5,19.7,Sunny,Autumn,September,2020,643.15
2020-09-10,27.1,55.7,5.5,20.5,Drizzle,Autumn,September,2020,564.61
2020-09-11,19.4,59.3,1.1,20.4,Partly Cloudy,Autumn,September,2020,462.23
2020-09-12,22.5,62.7,1.6,23.0,Partly Cloudy,Autumn,September,2020,461.64
2020-09-13,27.8,61.5,0.1,17.1,Partly Cloudy,Autumn,September,2020,555.43
2020-09-14,21.9,65.7,10.8,22.8,Drizzle,Autumn,September,2020,484.47
2020-09-15,25.3,56.5,22.1,14.0,Rainy,Autumn,September,2020,537.7
2020-09-16,26.3,64.1,0.9,6.2,Partly Cloudy,Autumn,September,2020,564.33
2020-09-17,21.2,57.9,1.6,19.3,Partly Cloudy,Autumn,September,2020,477.69
2020-09-18,23.8,65.9,12.2,6.0,Drizzle,Autumn,September,2020,507.18
2020-09-19,14.3,64.9,15.7,15.9,Rainy,Autumn,September,2020,408.46
2020-09-20,20.9,52.5,3.3,19.8,Partly Cloudy,Autumn,September,2020,444.88
2020-09-21,23.2,68.7,0.3,16.6,Partly Cloudy,Autumn,September,2020,499.83
2020-09-22,20.3,55.7,0.2,26.4,Partly Cloudy,Autumn,September,2020,468.86
2020-09-23,28.9,66.5,5.1,5.2,Sunny,Autumn,September,2020,613.09
2020-09-24,19.7,62.9,3.0,14.739492242595203,Partly Cloudy,Autumn,September,2020,464.3
2020-09-25,22.7,74.7,0.2,15.1,Partly Cloudy,Autumn,September,2020,493.37
2020-09-26,24.4,58.2,5.3,8.3,Drizzle,Autumn,September,2020,484.88
2020-09-27,28.3,57.2,0.1,9.2,Sunny,Autumn,September,2020,558.17
2020-09-28,19.7,59.8,9.3,10.8,Drizzle,Autumn,September,2020,464.16
2020-09-29,27.5,57.6,2.2,9.5,Partly Cloudy,Autumn,September,2020,574.23
2020-09-30,24.0,66.4,0.2,14.5,Partly Cloudy,Autumn,September,2020,509.86
2020-10-01,13.1,55.1,7.1,12.0,Drizzle,Autumn,October,2020,504.03
2020-10-02,17.4,59.6,4.1,16.6,Partly Cloudy,Autumn,October,2020,515.61
2020-10-03,16.6,59.5,29.1,18.2,Rainy,Autumn,October,2020,481.91
2020-10-04,14.2,75.6,6.3,17.9,Drizzle,Autumn,October,2020,475.18
2020-10-05,16.2,81.7,2.6,12.9,Cloudy,Autumn,October,2020,510.41
2020-10-06,14.8,67.2,9.9,16.4,Drizzle,Autumn,October,2020,506.59
2020-10-07,16.3,66.6,2.5,20.2,Partly Cloudy,Autumn,October,2020,511.05
2020-10-08,18.0,68.6,18.8,17.2,Rainy,Autumn,October,2020,518.95
2020-10-09,15.139844851904092,77.3,3.8,14.739492242595203,Partly Cloudy,Autumn,October,2020,553.82
2020-10-10,12.3,60.6,6.4,19.9,Drizzle,Autumn,October,2020,474.63
2020-10-11,22.4,69.9,0.4,23.6,Partly Cloudy,Autumn,October,2020,526.78
2020-10-12,10.1,75.8,4.4,2.5,Partly Cloudy,Autumn,October,2020,510.0
2020-10-13,15.5,72.0,14.3,15.5,Drizzle,Autumn,October,2020,508.36
2020-10-14,17.8,69.5,13.1,13.4,Drizzle,Autumn,October,2020,517.61
2020-10-15,16.8,76.0,2.0,14.4,Partly Cloudy,Autumn,October,2020,513.17
2020-10-16,14.1,46.4,75.3,11.0,Partly Cloudy,Autumn,October,2020,505.32
2020-10-17,15.4,73.4,5.653808180535966,14.739492242595203,Drizzle,Autumn,October,2020,477.49
2020-10-18,14.5,62.8,21.3,14.739492242595203,Rainy,Autumn,October,2020,475.82
2020-10-19,14.2,53.4,0.8,17.0,Partly Cloudy,Autumn,October,2020,505.45
2020-10-20,18.5,72.1,4.8,11.1,Partly Cloudy,Autumn,October,2020,522.59
2020-10-21,17.1,79.0,3.3,12.5,Partly Cloudy,Autumn,October,2020,513.97
2020-10-22,13.9,66.9,16.4,17.2,Rainy,Autumn,October,2020,505.0
2020-10-23,18.7,75.6,0.7,15.4,Partly Cloudy,Autumn,October,2020,523.5
2020-10-24,16.9,80.9,1.9,20.3,Cloudy,Autumn,October,2020,483.45
2020-10-25,18.4,78.5,11.2,10.2,Drizzle,Autumn,October,2020,491.86
2020-10-26,17.9,81.1,0.4,14.6,Cloudy,Autumn,October,2020,518.39
2020-10-27,13.5,73.9,5.4,19.4,Drizzle,Autumn,October,2020,504.63
2020-10-28,14.3,68.6,5.653808180535966,16.8,Partly Cloudy,Autumn,October,2020,505.49
2020-10-29,18.2,55.2,3.3,17.1,Partly Cloudy,Autumn,October,2020,520.63
2020-10-30,17.8,66.0,4.0,20.5,Partly Cloudy,Autumn,October,2020,518.16
2020-10-31,15.139844851904092,61.3,6.0,14.739492242595203,Drizzle,Autumn,October,2020,483.65
2020-11-01,8.4,91.4,1.2,11.9,Cloudy,Autumn,November,2020,553.67
2020-11-02,11.8,72.6,5.9,17.9,Drizzle,Autumn,November,2020,572.29
2020-11-03,6.2,75.0,11.5,14.3,Drizzle,Autumn,November,2020,599.47
2020-11-04,9.6,78.4,10.0,20.6,Drizzle,Autumn,November,2020,578.57
2020-11-05,7.4,74.3,1.2,16.8,Partly Cloudy,Autumn,November,2020,590.2
2020-11-06,7.3,87.6,1.1,11.9,Cloudy,Autumn,November,2020,591.33
2020-11-07,11.3,69.0,2.2,16.7,Partly Cloudy,Autumn,November,2020,542.88
2020-11-08,10.5,75.6,3.1,10.5,Partly Cloudy,Autumn,November,2020,544.79
2020-11-09,10.4,68.1,3.7,19.7,Partly Cloudy,Autumn,November,2020,575.63
2020-11-10,11.9,63.4,8.0,8.0,Drizzle,Autumn,November,2020,572.0
2020-11-11,8.1,69.1,0.4,21.1,Partly Cloudy,Autumn,November,2020,585.49
2020-11-12,10.0,73.7,0.2,16.6,Partly Cloudy,Autumn,November,2020,577.05
